sim_time_s,P_A,P_B,P_C,recency_A,recency_B,recency_C,risk_A,risk_B,risk_C,coverage_pct
1.0,0.0500,0.0500,0.0500,0.2078,0.2078,0.0000,0.0923,0.0923,0.0300,64.6
3.0,0.0758,0.0758,0.0500,0.4432,0.4432,0.0000,0.1784,0.1784,0.0300,71.9
5.0,0.1007,0.1007,0.0468,0.6642,0.6642,0.0000,0.2597,0.2597,0.0281,82.3
7.0,0.1218,0.1218,0.0437,0.8712,0.8712,0.0000,0.3344,0.3344,0.0262,90.6
9.1,0.1343,0.1343,0.0408,0.8583,0.8562,0.0000,0.3381,0.3374,0.0245,91.0
11.1,0.1423,0.1312,0.0382,0.8382,0.8092,0.0000,0.3368,0.3215,0.0229,91.7
13.1,0.1582,0.1404,0.0366,0.8469,0.8066,0.0000,0.3490,0.3262,0.0220,91.7
15.1,0.1708,0.1541,0.0344,0.8791,0.8299,0.0000,0.3662,0.3414,0.0207,92.7
17.1,0.1831,0.1662,0.0322,0.8725,0.8718,0.0000,0.3716,0.3613,0.0193,95.3
19.1,0.1828,0.1781,0.0302,0.8408,0.8738,0.0000,0.3619,0.3690,0.0181,95.5
21.1,0.1927,0.1759,0.0286,0.8415,0.8222,0.0000,0.3681,0.3522,0.0171,95.5
23.1,0.2013,0.1759,0.0270,0.8619,0.8010,0.0000,0.3793,0.3459,0.0162,95.7
25.1,0.2090,0.1853,0.0256,0.8899,0.8171,0.0000,0.3924,0.3563,0.0154,95.8
27.1,0.2071,0.1934,0.0243,0.8467,0.8557,0.0000,0.3782,0.3727,0.0146,96.2
29.2,0.2140,0.2008,0.0232,0.8380,0.8928,0.0000,0.3798,0.3883,0.0139,96.5
31.2,0.2203,0.1993,0.0222,0.8507,0.8342,0.0000,0.3874,0.3699,0.0133,97.2
33.2,0.2263,0.1964,0.0212,0.8907,0.8024,0.0000,0.4030,0.3585,0.0127,97.2
35.2,0.2258,0.2029,0.0204,0.8329,0.8102,0.0000,0.3854,0.3648,0.0123,97.2
37.2,0.2268,0.2089,0.0196,0.8225,0.8521,0.0000,0.3829,0.3810,0.0118,97.4
39.2,0.2319,0.2147,0.0189,0.8379,0.8876,0.0000,0.3905,0.3951,0.0113,98.8
41.3,0.2366,0.2162,0.0182,0.8598,0.8531,0.0000,0.3999,0.3857,0.0109,99.5
43.3,0.2363,0.2130,0.0176,0.7978,0.8079,0.0000,0.3811,0.3702,0.0106,100.0
45.3,0.2295,0.2166,0.0171,0.7737,0.8109,0.0000,0.3698,0.3732,0.0103,100.0
47.3,0.2325,0.2213,0.0165,0.7837,0.8390,0.0000,0.3746,0.3845,0.0099,100.0
49.3,0.2366,0.2257,0.0160,0.8127,0.8817,0.0000,0.3858,0.4000,0.0096,100.0
51.3,0.2407,0.2289,0.0155,0.8402,0.8657,0.0000,0.3965,0.3970,0.0093,100.0
53.4,0.2387,0.2249,0.0150,0.8049,0.8130,0.0000,0.3847,0.3788,0.0090,100.0
55.4,0.2426,0.2245,0.0146,0.8036,0.8044,0.0000,0.3866,0.3760,0.0088,100.0
57.4,0.2463,0.2288,0.0142,0.8231,0.8200,0.0000,0.3947,0.3833,0.0085,100.0
59.4,0.2496,0.2324,0.0138,0.8724,0.8623,0.0000,0.4115,0.3981,0.0083,100.0
61.4,0.2487,0.2360,0.0134,0.8154,0.8825,0.0000,0.3938,0.4064,0.0080,100.0
